slug	cts_urn	tlg
anonymi-in-aristotelis-artem-rhetoricam.fragmentum-commentarii-in-aristotelis-rhetorica	urn:cts:greekLit:tlg4026.tlg002	tlg4026.tlg002
anonymi-in-aristotelis-artem-rhetoricam.fragmentum-paraphrasis-in-aristotelis-rhetorica	urn:cts:greekLit:tlg4026.tlg003	tlg4026.tlg003
anonymi-in-aristotelis-artem-rhetoricam.in-aristotelis-artem-rhetoricam-commentarium	urn:cts:greekLit:tlg4026.tlg001	tlg4026.tlg001
anonymi-in-aristotelis-categorias.paraphrasis-categoriarum	urn:cts:greekLit:tlg4027.tlg001	tlg4027.tlg001
anonymi-in-aristotelis-ethica-nicomachea.in-ethica-nicomachea-paraphrasis-pseudepigraphum-olim-constantino	urn:cts:greekLit:tlg4033.tlg003	tlg4033.tlg003
anonymi-in-aristotelis-librum-alterum-analyticorum-posteriorum.anonymi-in-analyticorum-posteriorum-librum-alterum-commentarium	urn:cts:greekLit:tlg9004.tlg001	tlg9004.tlg001
anonymi-in-aristotelis-sophisticos-elenchos.in-aristotelis-sophisticos-elenchos-paraphrasis	urn:cts:greekLit:tlg4193.tlg012	tlg4193.tlg012
anonymi-in-oppiani-opera.in-oppiani-halieutica-exegesis-e-cod-paris-gr-2735	urn:cts:greekLit:tlg4171.tlg001	tlg4171.tlg001
anonymi-paradoxographi.de-incredibilibus-excerpta-vaticana	urn:cts:greekLit:tlg4037.tlg001	tlg4037.tlg001
anonymus-ad-avircium-marcellum-contra-cataphrygas.ad-avircium-marcellum-contra-cataphrygas	urn:cts:greekLit:tlg1131.tlg001	tlg1131.tlg001
anonymus-author-of-vita-cononis.vita-sancti-cononis-bidanae		pta:pta0041.pta001
anonymus-iamblichi.fragmenta	urn:cts:greekLit:tlg1134.tlg001	tlg1134.tlg001
anonymus-londinensis.fragmenta	urn:cts:greekLit:tlg0643.tlg002	tlg0643.tlg002
anonymus-londinensis.iatrica-fort-auctore-menone-brit-mus-inv-137	urn:cts:greekLit:tlg0643.tlg001	tlg0643.tlg001
anonymus-pseudo-john-chrysostom-pseudo-basil-of-caesarea.homilia-de-sancta-dominica		pta:pta0040.pta001
anonymus-pseudo-john-chrysostom.homilia-de-dominica-die		pta:pta0039.pta001
anonymus-pseudo-john-chrysostom.in-paralyticum		pta:pta0039.pta002
anonymus-pseudo-john-chrysostom.in-paralyticum-pta		pta:pta0039.pta003
antenor.fragmenta	urn:cts:greekLit:tlg2322.tlg003	tlg2322.tlg003
anthemius.dupuy-1777	urn:cts:greekLit:tlg4088.tlg001	tlg4088.tlg001
anthologia-graeca.anthologia-graeca	urn:cts:greekLit:tlg7000.tlg001	tlg7000.tlg001
antidotus.fragmenta	urn:cts:greekLit:tlg0409.tlg001	tlg0409.tlg001
antigoni-epistula.epistula	urn:cts:greekLit:tlg0618.tlg001	tlg0618.tlg001
antigonus-paradoxography.historiarum-mirabilium-collectio	urn:cts:greekLit:tlg0568.tlg001	tlg0568.tlg001
antileo.fragmenta	urn:cts:greekLit:tlg2173.tlg002	tlg2173.tlg002
